caseref;category;type;country;q;responsible;dead;expire_date;alt_ref;notes;parent_caseref;parent_country;container_caseref;container_country;title;title_official;abstract;description;client_name;client_ref;applicant1_name;applicant2_name;inventor1_name;inventor1_company;inventor2_name;inventor2_company;inventor3_name;inventor3_company;inventor4_name;inventor4_company;inventor5_name;inventor5_company;inventor6_name;inventor6_company;inventor7_name;inventor7_company;inventor8_name;inventor8_company;inventor9_name;inventor9_company;agent_name;agent_ref;filing_date;filing_number;priority_date;priority_country;priority_number;publication_date;publication_number;grant_date;grant_number;entry_date;examination_date;
011398.00131;;DIV;EP;;fz.ye;1;;;;011398.00187\EP;;;;A Scalable Smart Environment Using a Gateway Thermostat;;;Building blocks for a smart device such as a thermostat include a user interface (UI) unit (101) and a terminal (TML) unit (102). A UI unit may support one or more input data from a user and/or sensors and/or one or more control terminals. The UI unit may process each input datum or a combination of the input data, generate a control signal to one or more control terminals based on the processing, and send the control signal to one or more control terminals over a communication channel (151). A terminal unit, which may consist of one or more control terminals, transforms the received control signal into one or more controls to one or more associated environmental generators. One or more UI units may control one or more controlled apparatuses in conjunction with a mobile app to allow a unified user experience;Computime Ltd;;;;CHOI Hung Bun;;HA Wai-Leung;;CHAN Leung Yin;;NG Yau Wai;;LIU Chi Chung;;LI Luke;;LEE Tsz Kin;;CHAN Chi Lung;;YILMAZ Hamza;;Banner & Witcoff ;011398.00187\EP;22/5/2020;20176150.9;;;;28/10/2020;EP3731041;;;;;
011398.00131;;;HK;;fz.ye;0;;;;011398.00192\HK;;;;A Scalable Smart Environment Using a Gateway Thermostat;;;;Computime Ltd;;;;CHOI Hung Bun;;HA Wai-Leung;;CHAN Leung Yin;;NG Yau Wai;;LIU Chi Chung;;LIU Luke;;LEE Tsz Kin;;CHAN Chi Lung;;YILMAZ Hamza;;CHINAHONGKONG IP LIMITED;011398.00192\HK;10/11/2020;42020019787.9;;;;5/3/2021;HK40030572;;;;;
011398.00131;;;HK;;fz.ye;0;;;;011398.00190\HK;;;;A Scalable Smart Environment Using a Gateway Thermostat;;;;Computime Ltd;;;;CHOI Hung Bun;;HA Wai-Leung;;CHAN Leung Yin;;NG Yau Wai;;LIU Chi Chung;;LIU Luke;;LEE Tsz Kin;;CHAN Chi Lung;;YILMAZ Hamza;;CHINAHONGKONG IP LIMITED;011398.00190\HK;12/11/2020;42020019977.6;;;;19/2/2021;HK40029427;;;;;
011398.00131;;DIV;EP;;fz.ye;1;;;;011398.00189\EP;;;;A Scalable Smart Environment Using a Gateway Thermostat;;;Building blocks for a smart device such as a thermostat include a user interface (UI) unit (101) and a terminal (TML) unit (102). A UI unit may support one or more input data from a user and/or sensors and/or one or more control terminals. The UI unit may process each input datum or a combination of the input data, generate a control signal to one or more control terminals based on the processing, and send the control signal to one or more control terminals over a communication channel (151). A terminal unit, which may consist of one or more control terminals, transforms the received control signal into one or more controls to one or more associated environmental generators. One or more UI units may control one or more controlled apparatuses in conjunction with a mobile app to allow a unified user experience.;Computime Ltd;;;;CHOI Hung Bun;;HA Wai-Leung;;CHAN Leung Yin;;NG Yau Wai;;LIU Chi Chung;;LI Luke;;LEE Tsz Kin;;CHAN Chi Lung;;YILMAZ Hamza;;;011398.00189\EP;22/5/2020;20176120.2;;;;28/10/2020;EP3731040;;;;;
;;;EP;;fz.ye;1;;;;;;;;A Scalable Smart Environment Using A Gateway Thermostat;;;Building blocks for a smart device such as a thermostat include a user interface (UI) unit (101) and a terminal (TML) unit (102). A UI unit may support one or more input data from a user and/or sensors and/or one or more control terminals. The UI unit may process each input datum or a combination of the input data, generate a control signal to one or more control terminals based on the processing, and send the control signal to one or more control terminals over a communication channel (151). A terminal unit, which may consist of one or more control terminals, transforms the received control signal into one or more controls to one or more associated environmental generators. One or more UI units may control one or more controlled apparatuses in conjunction with a mobile app to allow a unified user experience.;Computime Ltd;;;;CHOI Hung Bun;;HA Wai-Leung;;CHAN Leung Yin;;NG Yau Wai;;LIU Chi Chung;;LI Luke;;LEE Tsz Kin;;CHAN Chi Lung;;YILMAZ Hamza;;Dehns;;6/11/2018;20176106 ;;;;21/10/2020;EP3726310;;;;;
011398.00107;;;US;;fz.ye;0;23/1/2036;;;011398.00108\US;;;;Adjustable Building Entry Sensor;;;An entry sensor, which supports either wireless or wired operation, facilitates installation and is adjustable for gaps between a building entry barrier such as a door or window and the surrounding frame. The sensor, which may be implemented as a single piece design, includes an adjustment mechanism that enables an installer to vary the extension of the sensor to match the actual gap so that the sensor properly secures the building entry when closed. The sensor includes a detector that determines the state of a switch that is responsive to the movement of a plunger mechanism, where the state is indicative whether the building entry barrier is opened or closed, and that may determine whether the sensor is tampered with. The sensor also may facilitate battery replacement that protects the associated circuitry during the replacement.;Salus Controls, Inc.;;;;PAI Samuel Hong-Yen;;HA Wai-Leung;;OWYANG Shen;;CHAN Dick Wai ;;SHUM Wai Yin;;KAM Kwok Wa Kenny;;FENG Guang Quan;;FENG Guang Quan;;;;Banner & Witcoff ;011398.00108\US;30/12/2015;14/984222;;;;7/7/2016;US-2016-0196729-A1;12/9/2017;9761098;;;
011398.00107;;;EP;;fz.ye;0;4/1/2036;;;011398.00109\EP;;;;Adjustable Door Sensor;;;An entry sensor, which supports either wireless or wired operation, facilitates installation and is adjustable for gaps between a building entry barrier such as a door or window and the surrounding frame. The sensor, which may be implemented as a single piece design, includes an adjustment mechanism that enables an installer to vary the extension of the sensor to match the actual gap so that the sensor properly secures the building entry when closed. The sensor includes a detector that determines the state of a switch that is responsive to the movement of a plunger mechanism, where the state is indicative whether the building entry barrier is opened or closed, and that may determine whether the sensor is tampered with. The sensor also may facilitate battery replacement that protects the associated circuitry during the replacement;Salus North America, Inc.;;;;CHAN Dick Kwai ;;FENG Guang Quan;;HA Wai-Leung;;KAM Kwok Wa Kenny;;OWYANG Shen;;PAI Samuel Hong-Yen;;SHUM Wai Yin;;;;;;Banner & Witcoff ;011398.00109\EP;4/1/2016;16150066.5;;;;6/7/2016;EP3041017;13/3/2019;EP3041017B1;;;
011398.00107;;;US;;fz.ye;0;30/12/2035;;;011398.00126\US;;;;Adjustable Door Sensor;;;An entry sensor, which supports either wireless or wired operation, facilitates installation and is adjustable for gaps between a building entry barrier such as a door or window and the surrounding frame. The sensor, which may be implemented as a single piece design, includes an adjustment mechanism that enables an installer to vary the extension of the sensor to match the actual gap so that the sensor properly secures the building entry when closed. The sensor includes a detector that determines the state of a switch that is responsive to the movement of a plunger mechanism, where the state is indicative whether the building entry barrier is opened or closed, and that may determine whether the sensor is tampered with. The sensor also may facilitate battery replacement that protects the associated circuitry during the replacement.;Salus North America, Inc.;;;;PAI Samuel Hong-Yen;;HA Wai-Leung;;OWYANG Shen;;CHAN Dick Kwai ;;SHUM Wai Yin;;KAM Kwok Wa Kenny;;FENG Guang Quan;;FENG Guang Quan;;;;Banner & Witcoff ;011398.00126\US;7/9/2017;15/697694;;;;21/12/2017;US-2017-0365142-A1;1/5/2018;9959719;;;
011398.00037;;;UK;;fz.ye;0;26/9/2028;;;011398.00083\GB;;;;Adjustable Feature Access for a Controlled System;;;The present invention provides apparatuses and methods for restricting access to a control unit in an environmental system based on a lock level. The control unit (e.g., a thermostat) is configured with a selected lock level, where each lock level is mapped to an associated set of features. A user 5 is able to access any of the features from the associated set of features without entering a security sequence. Also, a feature parameter may be restricted in accordance with the activated lock level. The control unit may be reconfigured with a different lock level by an administrator only when a security sequence is entered. Also, features may be mapped by an administrator to a set of features when the control unit is operating in the locked state. When the control unit is operating 10 in the unlocked state, all supported features can be accessed by a user.;Computime Ltd;;;;CHENG Chung Ming ;;CHAN Ho Sin Vincent ;;;;;;;;;;;;;;;;Banner & Witcoff ;011398.00083\GB;10/3/2010;GB1003959.2;;;;9/6/2010;"	GB2465908";1/8/2012;GB2465908;;;
011398.00037;;;US;;fz.ye;0;13/4/2032;;;011398.00037\US;;;;Adjustable Feature Access for a Controlled System;;;The present invention provides apparatuses and methods for restricting access to a control unit in an environmental system based on a lock level. The control unit (e.g., a thermostat) is configured with a selected lock level, where each lock level is mapped to an associated set of features. A user is able to access any of the features from the associated set of features without entering a security sequence. Also, a feature parameter may be restricted in accordance with the activated lock level. The control unit may be reconfigured with a different lock level by an administrator only when a security sequence is entered. Also, features may be mapped by an administrator to a set of features when the control unit is operating in the locked state. When the control unit is operating in the unlocked state, all supported features can be accessed by a user.;Computime Ltd;;;;CHENG Chung Ming ;;CHAN Ho Sin Vincent ;;;;;;;;;;;;;;;;Banner & Witcoff ;011398.00037\US;2/10/2007;11/865938;;;;2/4/2009;US-2009-0089886-A1;15/4/2014;8701210;;;
011398.00038;;;US;;fz.ye;0;5/7/2028;;;011398.00038\US;;;;Adjusting a communications channel between control unit and remote sensor;;;The present invention provides apparatuses and systems for adjusting a communication channel between a control unit and a remote sensor. A system may include a control unit that controls an environmental unit and a remote sensor that provides data about an environmental factor as measured at the remote sensor. The remote sensor transmits a radio frequency (RF) signal that conveys the data to control unit through a directional antenna. The RF signal is received by the control unit through an omnidirectional antenna, and a signal strength parameter is determined from the received RF signal. A signal strength indication unit provides an indication from the signal strength parameter as a user adjusts the position of the directional antenna. With embodiments of the invention, a signal strength module generates an audio signal in accordance with an audio characteristic, which is indicative of the signal strength of the received RF signal.;Computime Ltd;;;;CHENG Chung Ming ;;CHAN Ho Sin Vincent ;;;;;;;;;;;;;;;;Banner & Witcoff ;011398.00038\US;24/9/2007;11/860154;;;;26/3/2009;US-2009-0079577-A1;27/7/2010;7764171 B2;;;
;;;WO;;fz.ye;1;23/9/2028;;;;;;;Adjusting a Communications Channel Between Control Unit and Remote Sensor;;;The present invention provides apparatuses and systems for adjusting a communication channel between a control unit and a remote sensor. A system may include a control unit that controls an environmental unit and a remote sensor that provides data about an environmental factor as measured at the remote sensor. The remote sensor transmits a radio frequency (RF) signal that conveys the data to control unit through a directional antenna. The RF signal is received by the control unit through an omnidirectional antenna, and a signal strength parameter is determined from the received RF signal. A signal strength indication unit provides an indication from the signal strength parameter as a user adjusts the position of the directional antenna. With embodiments of the invention, a signal strength module generates an audio signal in accordance with an audio characteristic, which is indicative of the signal strength of the received RF signal.;Computime Ltd;;;;CHENG Chung Ming ;;CHAN Ho Sin Vincent ;;;;;;;;;;;;;;;;;;23/9/2008;PCT/CN2008/072458;;;;2/4/2009;WO2009039790A1;;;;;
011398.00038;;;UK;;fz.ye;1;23/9/2028;;;011398.00081\GB;;;;Adjusting a Communications Channel Between Control Unit and Remote Sensor;;;The present invention provides apparatuses and systems for adjusting a communication channel between a control unit and a remote sensor. A system may include a control unit that controls an environmental unit and a remote sensor that provides data about an environmental factor as measured at the remote sensor. The remote sensor transmits a radio frequency (RF) signal that conveys the data to control unit through a directional antenna. The RF signal is received by the control unit through an omnidirectional antenna, and a signal strength parameter is determined from the received RF signal. A signal strength indication unit provides an indication from the signal strength parameter as a user adjusts the position of the directional antenna. With embodiments of the invention, a signal strength module generates an audio signal in accordance with an audio characteristic, which is indicative of the signal strength of the received RF signal.;Computime Ltd;;;;CHENG Chung Ming ;;CHAN Ho Sin Vincent ;;;;;;;;;;;;;;;;;011398.00081\GB;23/9/2008;"	GB1003958.4";;;;29/8/2012;GB2465129;;GB2465129;;;
;;;US;;fz.ye;1;14/8/2020;;;;;;;Alarm Clock with Remote Control Function;;;"Apparatus providing an alarm clock remote control system and a remote control system with an alarm clock system with alarm clock circuitry that includes: a microprocessor, coupled to the alarm clock activation circuitry, remote IR diode driving circuitry, an internal buzzer, an alarm, a display, and input and output ports, for providing central control; the display, coupled to the microprocessor, for displaying current time and alarm time; a speaker, coupled to the microprocessor, the AM/FM radio unit, the internal buzzer, and the alarm, for outputting selected audio; an AM/FM radio tuner, and clock setup circuitry, alarm setup and activation circuitry coupled to the microprocessor for setting the clock, setting the alarm, and activating at least one remote device; and a programmable universal infrared remote device control, coupled to the alarm clock circuitry, for remote programming a remote device, and having activation circuitry for activating the remote device.";Computime Ltd;;;;AUYANG Bernard;;HA Wai-Leung;;;;;;;;;;;;;;;;;;14/8/2000;09/638,336;;;;30/3/2004;US6714136B1;30/3/2004;6714136 ;;;
CT-HKEIL-2026001;;;HK;;fz.ye;0;;;;;;;;An Environmental Control System And Method;;;An environmental control system and method;Computime Ltd;;;;HA WL ;;LI Mu;;;;;;;;;;;;;;;;Evolution IP Limited;P.HK.ST.01.000398;5/2/2026;32026118783.7 ;;;;;;;;;;
;;PRO;US;;fz.ye;0;;;;CPT0002-PRO;;;;An Improvement to Random Pattern Mowing;;;;Computime Ltd;;;;;;;;;;;;;;;;;;;;;;Kasha Law LLC;CPT0002-PRO;3/2/2023;63/483,018;;;;8/8/2024;20240264609;;;;;
92119482;PAT;;US;;fz.ye;0;;;;CPT0002-US;;;;An Improvement to Random Pattern Mowing;;;A lawnmower is instructed to move from a reference point along the boundary wire and to follow the boundary wire along a boundary path back to the reference point, using data from at least one wire sensor of the lawnmower. One or more elements are determined along the boundary path using distance data from at least one distance sensor of the lawnmower and using angular velocity data from at least one direction sensor of the lawnmower. The one or more elements are identified as one of at least three different types of elements. The mowing area is calculated from the identified types of the one or more elements and the distance data and angular velocity data received for the one or more elements. Other important features are obtained from the calculation of the mowing area including, but not limited to, multiple starting points and a parallel mowing pattern.;Computime Ltd;;;;CHENG Chung Ming ;;CHAN Chi Lung;;;;;;;;;;;;;;;;Kasha Law LLC;CPT0002-US;3/2/2024;18/432805;;;;8/8/2024;US 2024/0264609 A1;10/2/2026;12547188;;;
011398.00015;PAT;;EP;;fz.ye;0;27/6/2028;;;011398.00078\EP;;;;Apparatus For Recording And Conveying Energy Consumption And Power Information;;;Aspects of the invention provide apparatuses, methods, and systems that support measuring and conveying energy consumption by an electrical device. An apparatus includes an energy sensor that measures an incremental energy value consumed by an electrical device. Apparatus obtains the incremental energy value, accumulates an energy usage measurement in accordance with the incremental energy value, provides requested information about energy consumption of the electrical device in response to a request from a network controller, and adjusts the energy usage measurement in accordance with the requested information. The total energy consumption may be partitioned into at least one energy component, in which the at least one energy component corresponds to the energy consumption of the electrical device during an associated time interval. A network controller may use the energy consumption information to determine a new set temperature for a thermostat unit that instructs the device control logic.Aspects of the invention provide apparatuses, methods, and systems that support measuring and conveying energy consumption by an electrical device. An apparatus includes an energy sensor that measures an incremental energy value consumed by an electrical device. Apparatus obtains the incremental energy value, accumulates an energy usage measurement in accordance with the incremental energy value, provides requested information about energy consumption of the electrical device in response to a request from a network controller, and adjusts the energy usage measurement in accordance with the requested information. The total energy consumption may be partitioned into at least one energy component, in which the at least one energy component corresponds to the energy consumption of the electrical device during an associated time interval. A network controller may use the energy consumption information to determine a new set temperature for a thermostat unit that instructs the device control logic.;Computime Ltd;;;;HA Wai-Leung;;LEI Kairy Kai;;;;;;;;;;;;;;;;Banner & Witcoff ;011398.00078\EP;20/1/2010;08772996.8;;;;17/3/2010;EP2162870;29/11/2017;EP2162870B1;;;
38016763;;;US;;fz.ye;0;18/1/2026;;;011398.00012\US;;;;Apparatus For Temperature Control Using a Cycle Rate Algorithm;;;The present invention controls a room temperature by controlling an environmental control unit. A total span about a setpoint temperature is adjusted in accordance with a previous total span and a multiplicative factor. The multiplicative factor is periodically updated from a desired cycle time and a previous cycle time. The room temperature may also be controlled by adjusting a duty cycle for controlling an environmental control unit. The duty cycle is adjusted based on an error associated with a previous control cycle and an attenuation factor. A new control cycle may be started by cutting the previous control cycle or a current control cycle may be extended if a predetermined condition is detected. The control mode is selected based on environmental characteristics and room characteristics. The control mode may include a span control mode and a duty cycle control mode that is selected from the cycle rate.;Computime Ltd;;;;CHENG Chung Ming ;;;;;;;;;;;;;;;;;;;011398.00012\US;18/1/2006;11/334259;;;;19/7/2007;US 20070168084 A1;15/7/2008;7400942;;;
011398.00113;PAT;;AU;;fz.ye;0;2/5/2037;;;011398.00123\AU;;;;Automatic Balance Valve Control;;;AUTOMATIC BALANCE VALVE CONTROL Abstract A self-adjusting balance valve controller controls water flow through a hydronic emitter in a heating and/or cooling temperature control system. The valve controller obtains a measured temperature differential between an inlet and an outlet of the hydronic emitter and determines a displacement of a coupling pin from the measured temperature differential. The valve controller then instructs a driving mechanism to move, through a coupling mechanism, the coupling pin to adjust a valve that results in a desired water flow through the hydronic emitter. The valve controller may maintain a stable temperature differential at a desired differential value, which may be obtained through a user interface or from a memory device. Moreover, the desired differential value may vary with different times of operation or temperature control situations. (photo seor) (logic PCBA) (motor) powerPCBA) (gear ax) (helical gear) -1 Moea (coupling pin) :09 (temperature sensor) 310(valve shaft) 311 (valve head) (water) (water exit) 301(valve) (valve completely opened) Figure 3A;Computime Ltd;;;;SMITH Philip John;;HA Wai-Leung;;JEPSON Dean Richard;;CHENG Chung Ming ;;KAM Kwok Wa Kenny;;HUANG Hao Hui;;CHAN Dick Kwai ;;LIAO Hong Bin;;;;Davies Collison Cave Pty Ltd;011398.00123\AU;2/5/2017;2017202924;;;;;;22/11/2018;2017202924;;;
59276535;PAT;;US;;fz.ye;0;31/12/2027;;;011398.00114\US;;;;Automatic Balance Valve Control;;;A self-adjusting balance valve controller controls water flow through a hydronic emitter in a heating and/or cooling temperature control system. The valve controller obtains a measured temperature differential between an inlet and an outlet of the hydronic emitter and determines a displacement of a coupling pin from the measured temperature differential. The valve controller then instructs a driving mechanism to move, through a coupling mechanism, the coupling pin to adjust a valve that results in a desired water flow through the hydronic emitter. The valve controller may maintain a stable temperature differential at a desired differential value, which may be obtained through a user interface or from a memory device. Moreover, the desired differential value may vary with different times of operation or temperature control situations.;Computime Ltd;;;;SMITH Philip John;;HA Wai-Leung;;JEPSON Dean Richard;;CHENG Chung Ming ;;KAM Kwok Wa Kenny;;HUANG Hao Hui;;CHAN Dick Kwai ;;LIAO Hong Bin;;;;Banner & Witcoff ;011398.00114\US;7/4/2017;15/481923;;;;1/2/2018;US 20180031251 A1;30/6/2020;10697650;;;
011398.00113;;;EP;;fz.ye;0;29/6/2037;;;011398.00122\EP;;;;Automatic Balance Valve Control;;;A self-adjusting balance valve controller (401) controls water flow through a hydronic emitter (101) in a heating and/or cooling temperature control system. The valve controller (401) obtains a measured temperature differential between an inlet (102) and an outlet (103) of the hydronic emitter and determines a displacement of a coupling pin (303) from the measured temperature differential. The valve controller (401) then instructs a driving mechanism (304) to move, through a coupling mechanism (306), the coupling pin (303) to adjust a valve (106) that results in a desired water flow through the hydronic emitter (101). The valve controller (401) may maintain a stable temperature differential at a desired differential value, which may be obtained through a user interface (404) or from a memory device (405). Moreover, the desired differential value may vary with different times of operation or temperature control situations;Computime Ltd;;;;SMITH Philip John;;HA Wai-Leung;;JEPSON Dean Richard;;CHENG Chung Ming ;;KAM Kwok Wa Kenny;;HUANG Hao Hui;;CHAN Dick Kwai ;;LIAO Hong Bin;;;;Banner & Witcoff ;011398.00122\EP;29/6/2017;17178748.4;;;;31/1/2018;EP3276267;7/4/2021;EP3276267B1;;;
;;;WO;;fz.ye;1;20/2/2029;;;;;;;Automatic Display Unit Activation;;;The present invention provides apparatuses and methods for contro lling the brightness of a display unit based on detected mov ement of an external object such as a user. An apparatus includes a display, e.g., a color liquid crystal display (LCD) or organic light emitting diode 5 (OLED). A pro ximity circuit ge nerates a transmitted si gnal and a received signal. The received signal results from the transmitted signal being reflected by an external object. A control unit processes the rec eived signal to de termine a degree of motion of the external object. When the degree of motion is greater than a first predetermined threshold but not greater than a second predeter mined threshold, the dis play is acti vated and operating at partial int ensity. When the 10 degree of motion is greater than the second predete rmined threshold, the dis play is acti vated at full intensity. The degree of motion may be dete rmined from the variation of the received signal.;Computime Ltd;;;;CHENG Chung Ming ;;HO Sin Vincent Chan;;;;;;;;;;;;;;;;;;20/2/2009;PCT/CN2009/070483;;;;27/8/2009;WO2009103238A1;;;;;
011398.00035;;;DE;;fz.ye;0;20/2/2029;;;011398.00089\DE;;;;Automatic Display Unit Activation;Anzeigeeinheit mit automatischer Aktivierung;;The present invention provides apparatuses and methods for controlling the brightness of a display unit based on detected movement of an external object such as a user. An apparatus includes a display, e.g., a color liquid crystal display (LCD) or organic light emitting diode (OLED). A proximity circuit generates a transmitted signal and a received signal. The received signal results from the transmitted signal being reflected by an external object. A control unit processes the received signal to determine a degree of motion of the external object. When the degree of motion is greater than a first predetermined threshold but not greater than a second predetermined threshold, the display is activated and operating at partial intensity. When the degree of motion is greater than the second predetermined threshold, the display is activated at full intensity. The degree of motion may be determined from the variation of the received signal;Computime Ltd;;;;CHENG Chung Ming ;;CHAN Ho Sin Vincent ;;;;;;;;;;;;;;;;Banner & Witcoff ;011398.00089\DE;20/8/2010;11 2009 000 405.9;;;;;DE112009000405T5;16/7/2014;DE112009000405B4;;;
